equity_start,equity_end,trades,profit_factor,win_rate_%,elapsed_sec,param,value,chosen
100.0,103.657160980567,128,1.0937140841668025,39.0625,1.3255178928375244,side,BOTH,True
100.0,103.657160980567,128,1.0937140841668025,39.0625,1.32501220703125,side,LONG,False
100.0,91.0571011111964,92,0.6548902749691737,29.347826086956523,1.333601951599121,side,SHORT,False
100.0,103.657160980567,128,1.0937140841668025,39.0625,1.4144270420074463,min_atr_ratio,0.001,True
100.0,103.657160980567,128,1.0937140841668025,39.0625,1.4033751487731934,min_atr_ratio,0.0012,False
100.0,103.657160980567,128,1.0937140841668025,39.0625,1.329758882522583,min_atr_ratio,0.0015,False
100.0,103.74597189810072,129,1.0962087962318068,38.75968992248062,1.3058109283447266,min_momentum_sum,0.015,True
100.0,103.657160980567,128,1.0937140841668025,39.0625,1.3140711784362793,min_momentum_sum,0.02,False
100.0,103.48978600756082,130,1.0890432287209162,38.46153846153846,1.3542520999908447,min_momentum_sum,0.0,False
100.0,92.25078905752083,147,0.8339659445419991,34.01360544217687,1.3667311668395996,min_momentum_sum,0.03,False
100.0,103.74597189810072,129,1.0962087962318068,38.75968992248062,1.315004825592041,tp_atr_mult,2.6,True
100.0,100.38908080366146,163,1.008297188496989,39.2638036809816,1.3544387817382812,tp_atr_mult,2.2,False
100.0,91.81365972652893,130,0.8140899472749882,31.53846153846154,1.3001046180725098,tp_atr_mult,3.0,False
100.0,86.91157247908941,103,0.6591119656402926,25.24271844660194,1.2615854740142822,tp_atr_mult,3.4,False
100.0,103.74597189810072,129,1.0962087962318068,38.75968992248062,1.3119254112243652,sl_atr_mult,1.0,True
100.0,98.34548604089514,131,0.9596393125634451,37.40458015267176,1.349210500717163,sl_atr_mult,1.1,False
100.0,95.24749614810598,153,0.8922256184747429,34.64052287581699,1.265841722488403,sl_atr_mult,0.9,False
100.0,103.74597189810072,129,1.0962087962318068,38.75968992248062,1.3824212551116943,session.open_hour_kyiv,0,True
100.0,103.74597189810072,129,1.0962087962318068,38.75968992248062,1.366383075714111,session.open_hour_kyiv,1,False
100.0,103.74597189810072,129,1.0962087962318068,38.75968992248062,1.3016643524169922,session.open_hour_kyiv,2,False
